Cafe Name,Time of Day,Estimated Speaker Age,Speaker Gender,Listener 1 Age,Listener1 Gender,Listener 2 Age,Listener 2 Gender,"Content Words (one word, not phrases)",Theme/Topic,"Formality (Informal, Neutral, Formal)",opt: clothing,opt: orders,opt: occupation,opt: native speaker?,Other notable details,,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Need,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Snap (verb Snapchat),General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Look,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Screen,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Computer,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Apple,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Starbucks,1:30 PM,15-Dec,Female,35-45,Female,5-Mar,Female,Store,General discussion among family,Informal,Mom had feather lined coat,,,Yes,"The mom literally called her 3-5 y/o daughter gross, then took a selfie with her, then the older daughter snapchatted her mom taking the selfie",,,,,,,,,,
Blue Bottle,5.00 pm (Sat),60,M,40,M,N/A,N/A,Son,Family,Neutral,Polo/bomber jacket,Green tea,N/A (Consultant?),No - French,Extremely thoughtful,,,,,,,,,,
Blue Bottle,5.00 pm (Sat),60,M,40,M,N/A,N/A,Occupation,Family,Neutral,Polo/bomber jacket,Green tea,N/A (Consultant?),No - French,Extremely thoughtful,,,,,,,,,,
Blue Bottle,5.00 pm (Sat),60,M,40,M,N/A,N/A,Foreign,Family,Neutral,Polo/bomber jacket,Green tea,N/A (Consultant?),No - French,Extremely thoughtful,,,,,,,,,,
